ProbeLabel,PredictedLabel,Rank1Match,Rank5Match,IndexPredicted,Image
0,0,True,True,0,data/fulldataset/2019data/7/007_6.jpg 0
1,1,True,True,0,data/fulldataset/2019data/40/040_6.jpg 1
2,2,True,True,0,data/fulldataset/2019data/56/056_6.jpg 2
3,7,False,True,2,data/fulldataset/2019data/4/004_6.jpg 3
4,16,False,True,1,data/fulldataset/2019data/55/055_8.jpg 4
5,5,True,True,0,data/fulldataset/2019data/81/081_1.jpg 5
6,6,True,True,0,data/fulldataset/2019data/48/048_13.jpg 6
7,7,True,True,0,data/fulldataset/2019data/32/032_6.jpg 7
8,8,True,True,0,data/fulldataset/2019data/68/068_1.jpg 8
9,9,True,True,0,data/fulldataset/2019data/49/049_5.jpg 9
10,10,True,True,0,data/fulldataset/2019data/84/084_8.jpg 10
11,11,True,True,0,data/fulldataset/2019data/72/072_2.jpg 11
12,12,True,True,0,data/fulldataset/2019data/71/071_1.jpg 12
13,13,True,True,0,data/fulldataset/2019data/62/062_15.jpg 13
14,14,True,True,0,data/fulldataset/2019data/50/050_5.jpg 14
15,13,False,True,1,data/fulldataset/2019data/59/059_1.jpg 15
16,16,True,True,0,data/fulldataset/2019data/45/045_9.jpg 16
