ProbeLabel,PredictedLabel,Rank1Match,Rank5Match,IndexPredicted,Image
0,0,True,True,0,data/fulldataset/2019data/7/007_4.jpg 0
1,1,True,True,0,data/fulldataset/2019data/40/040_1.jpg 1
2,2,True,True,0,data/fulldataset/2019data/56/056_13.jpg 2
3,3,True,True,0,data/fulldataset/2019data/4/004_1.jpg 3
4,10,False,True,2,data/fulldataset/2019data/55/055_9.jpg 4
5,5,True,True,0,data/fulldataset/2019data/81/081_2.jpg 5
6,6,True,True,0,data/fulldataset/2019data/48/048_8.jpg 6
7,3,False,True,1,data/fulldataset/2019data/32/032_5.jpg 7
8,8,True,True,0,data/fulldataset/2019data/68/068_6.jpg 8
9,9,True,True,0,data/fulldataset/2019data/49/049_1.jpg 9
10,10,True,True,0,data/fulldataset/2019data/84/084_7.jpg 10
11,11,True,True,0,data/fulldataset/2019data/72/072_6.jpg 11
12,12,True,True,0,data/fulldataset/2019data/71/071_8.jpg 12
13,13,True,True,0,data/fulldataset/2019data/62/062_9.jpg 13
14,14,True,True,0,data/fulldataset/2019data/50/050_3.jpg 14
15,15,True,True,0,data/fulldataset/2019data/59/059_2.jpg 15
16,10,False,True,1,data/fulldataset/2019data/45/045_1.jpg 16
